Code ,Name,Level,Kebab Case
135,Dreams and mysteries,3,135-dreams-and-mysteries
136,[Unassigned],3,136-[unassigned]
137,Divinatory graphology,3,137-divinatory-graphology
138,Physiognomy,3,138-physiognomy
139,Phrenology,3,139-phrenology
140,Specific philosophical schools,3,140-specific-philosophical-schools
141,Idealism and related systems,3,141-idealism-and-related-systems
142,Critical philosophy,3,142-critical-philosophy
143,Bergsonism and intuitionism,3,143-bergsonism-and-intuitionism
144,Humanism and related systems,3,144-humanism-and-related-systems
145,Sensationalism,3,145-sensationalism
146,Naturalism and related systems,3,146-naturalism-and-related-systems
147,Pantheism and related systems,3,147-pantheism-and-related-systems
148,"Dogmatism, eclecticism, liberalism, etc.",3,148-dogmatism-eclecticism-liberalism-etc.
149,Other philosophical systems and doctrines,3,149-other-philosophical-systems-and-doctrines
150,Psychology,3,150-psychology
151,[Unassigned],3,151-[unassigned]
152,"Perception, movement, emotions & drives",3,152-perception-movement-emotions-and-drives
153,Conscious mental processes & intelligence,3,153-conscious-mental-processes-and-intelligence
154,Subconscious & altered states,3,154-subconscious-and-altered-states
155,Differential & developmental psychology,3,155-differential-and-developmental-psychology
156,Comparative psychology,3,156-comparative-psychology
157,[Unassigned],3,157-[unassigned]
158,Applied psychology,3,158-applied-psychology
159,[Unassigned],3,159-[unassigned]
160,Philosophical logic,3,160-philosophical-logic
161,Induction,3,161-induction
162,Deduction,3,162-deduction
163,[Unassigned],3,163-[unassigned]
164,[Unassigned],3,164-[unassigned]
165,Fallacies and sources of error,3,165-fallacies-and-sources-of-error
166,Syllogisms,3,166-syllogisms
167,Hypotheses,3,167-hypotheses
168,Argument and persuasion,3,168-argument-and-persuasion
169,Analogy,3,169-analogy
170,Ethics (Moral philosophy),3,170-ethics-(moral-philosophy)
171,Ethical systems,3,171-ethical-systems
172,Political ethics,3,172-political-ethics
173,Ethics of family relationships,3,173-ethics-of-family-relationships
174,Occupational ethics,3,174-occupational-ethics
175,Ethics of recreation & leisure,3,175-ethics-of-recreation-and-leisure
176,Ethics of sex and reproduction,3,176-ethics-of-sex-and-reproduction
177,Ethics of social relations,3,177-ethics-of-social-relations
178,Ethics of consumption,3,178-ethics-of-consumption
179,Other ethical norms,3,179-other-ethical-norms
180,"Ancient, medieval, eastern philosophy",3,180-ancient-medieval-eastern-philosophy
181,Eastern philosophy,3,181-eastern-philosophy
182,Pre-Socratic Greek philosophies,3,182-pre-socratic-greek-philosophies
183,"Sophistic, Socratic, related philosophies",3,183-sophistic-socratic-related-philosophies
184,Platonic philosophy,3,184-platonic-philosophy
185,Aristotelian philosophy,3,185-aristotelian-philosophy
186,Skeptic and Neoplatonic philosophies,3,186-skeptic-and-neoplatonic-philosophies
187,Epicurean philosophy,3,187-epicurean-philosophy
188,Stoic philosophy,3,188-stoic-philosophy
189,Medieval western philosophy,3,189-medieval-western-philosophy
190,Modern western philosophy,3,190-modern-western-philosophy
191,Philosophy of United States and Canada,3,191-philosophy-of-united-states-and-canada
192,Philosophy of British Isles,3,192-philosophy-of-british-isles
193,Philosophy of Germany and Austria,3,193-philosophy-of-germany-and-austria
194,Philosophy of France,3,194-philosophy-of-france
195,Philosophy of Italy,3,195-philosophy-of-italy
196,Philosophy of Spain and Portugal,3,196-philosophy-of-spain-and-portugal
197,Philosophy of Russia,3,197-philosophy-of-russia
198,Philosophy of Scandinavia and Finland,3,198-philosophy-of-scandinavia-and-finland
199,Philosophy of other geographic areas,3,199-philosophy-of-other-geographic-areas
200,Religion,3,200-religion
201,Religious mythology & social theology,3,201-religious-mythology-and-social-theology
202,Doctrines,3,202-doctrines
203,Public worship and other practices,3,203-public-worship-and-other-practices
204,"Religious experience, life, practice",3,204-religious-experience-life-practice
205,Religious ethics,3,205-religious-ethics
206,Leaders and organization,3,206-leaders-and-organization
207,Missions and religious education,3,207-missions-and-religious-education
208,Sources,3,208-sources
209,Sects and reform movements,3,209-sects-and-reform-movements
210,Philosophy and theory of religion,3,210-philosophy-and-theory-of-religion
211,Concepts of God,3,211-concepts-of-god
212,"Existence, knowability & attributes of God",3,212-existence-knowability-and-attributes-of-god
213,Creation,3,213-creation
214,Theodicy,3,214-theodicy
215,Science and religion,3,215-science-and-religion
216,[Unassigned],3,216-[unassigned]
217,[Unassigned],3,217-[unassigned]
218,Humankind,3,218-humankind
219,[Unassigned],3,219-[unassigned]
220,Bible,3,220-bible
221,Old Testament (Tanakh),3,221-old-testament-(tanakh)
222,Historical books of Old Testament,3,222-historical-books-of-old-testament
223,Poetic books of Old Testament,3,223-poetic-books-of-old-testament
224,Prophetic books of Old Testament,3,224-prophetic-books-of-old-testament
225,New Testament,3,225-new-testament
226,Gospels and Acts,3,226-gospels-and-acts
227,Epistles,3,227-epistles
228,Revelation (Apocalypse),3,228-revelation-(apocalypse)
229,Apocrypha and pseudepigrapha,3,229-apocrypha-and-pseudepigrapha
230,Christianity,3,230-christianity
231,God,3,231-god
232,Jesus Christ and his family,3,232-jesus-christ-and-his-family
233,Humankind,3,233-humankind
234,Salvation and grace,3,234-salvation-and-grace
235,Spiritual beings,3,235-spiritual-beings
236,Eschatology,3,236-eschatology
237,[Unassigned],3,237-[unassigned]
238,Creeds & catechisms,3,238-creeds-and-catechisms
239,Apologetics and polemics,3,239-apologetics-and-polemics
240,Christian moral and devotional theology,3,240-christian-moral-and-devotional-theology
241,Christian ethics,3,241-christian-ethics
242,Devotional literature,3,242-devotional-literature
243,Evangelistic writings for individuals,3,243-evangelistic-writings-for-individuals
244,[Unassigned],3,244-[unassigned]
245,[Unassigned],3,245-[unassigned]
246,Use of art in Christianity,3,246-use-of-art-in-christianity
247,Church furnishings and related articles,3,247-church-furnishings-and-related-articles
248,"Christian experience, practice, life",3,248-christian-experience-practice-life
249,Christian observances in family life,3,249-christian-observances-in-family-life
250,Local Christian church and religious orders,3,250-local-christian-church-and-religious-orders
251,Preaching (Homiletics),3,251-preaching-(homiletics)
252,Texts of sermons,3,252-texts-of-sermons
253,Pastoral work (Pastoral theology),3,253-pastoral-work-(pastoral-theology)
254,Local church administration,3,254-local-church-administration
255,Religious congregations and orders,3,255-religious-congregations-and-orders
256,[Unassigned],3,256-[unassigned]
257,[Unassigned],3,257-[unassigned]
258,[Unassigned],3,258-[unassigned]
259,Pastoral care of families & kinds of persons,3,259-pastoral-care-of-families-and-kinds-of-persons
260,Christian social and ecclesiastical theology,3,260-christian-social-and-ecclesiastical-theology
261,Social theology and interreligious relations,3,261-social-theology-and-interreligious-relations
262,Ecclesiology,3,262-ecclesiology
263,"Days, times, places of religious observance",3,263-days-times-places-of-religious-observance
264,Public worship,3,264-public-worship
265,"Sacraments, other rites and acts",3,265-sacraments-other-rites-and-acts
266,Missions,3,266-missions
267,Associations for religious work,3,267-associations-for-religious-work
268,Religious education,3,268-religious-education
269,Spiritual renewal,3,269-spiritual-renewal
270,"History, geographic treatment, biography",3,270-history-geographic-treatment-biography
271,Religious orders in church history,3,271-religious-orders-in-church-history
272,Persecutions in general church history,3,272-persecutions-in-general-church-history
273,Doctrinal controversies & heresies,3,273-doctrinal-controversies-and-heresies
274,History of Christianity in Europe,3,274-history-of-christianity-in-europe
275,History of Christianity in Asia,3,275-history-of-christianity-in-asia
276,History of Christianity in Africa,3,276-history-of-christianity-in-africa
277,History of Christianity in North America,3,277-history-of-christianity-in-north-america
278,History of Christianity in South America,3,278-history-of-christianity-in-south-america
279,History of Christianity in other areas,3,279-history-of-christianity-in-other-areas
280,Denominations & sects of Christian church,3,280-denominations-and-sects-of-christian-church
281,Early church and Eastern churches,3,281-early-church-and-eastern-churches
282,Roman Catholic Church,3,282-roman-catholic-church
283,Anglican churches,3,283-anglican-churches
284,Protestants of Continental origin,3,284-protestants-of-continental-origin
285,"Presbyterian, Reformed & Congregational",3,285-presbyterian-reformed-and-congregational
286,"Baptist, Restoration & Adventist",3,286-baptist-restoration-and-adventist
287,Methodist and related churches,3,287-methodist-and-related-churches
288,[Unassigned],3,288-[unassigned]
289,Other denominations and sects,3,289-other-denominations-and-sects
290,Other religions,3,290-other-religions
291,[Unassigned],3,291-[unassigned]
292,Classical religion (Greek & Roman religion),3,292-classical-religion-(greek-and-roman-religion)
293,Germanic religion,3,293-germanic-religion
294,Religions of Indic origin,3,294-religions-of-indic-origin
295,"Zoroastrianism (Mazdaism, Parseeism)",3,295-zoroastrianism-(mazdaism-parseeism)
296,Judaism,3,296-judaism
297,"Islam, Babism & Bahai Faith",3,297-islam-babism-and-bahai-faith
298,(Optional number),3,298-(optional-number)
299,Religions not provided for elsewhere,3,299-religions-not-provided-for-elsewhere
300,Social sciences,3,300-social-sciences
301,Sociology and anthropology,3,301-sociology-and-anthropology
302,Social interaction,3,302-social-interaction
303,Social processes,3,303-social-processes
304,Factors affecting social behavior,3,304-factors-affecting-social-behavior
305,Groups of people,3,305-groups-of-people
306,Culture and institutions,3,306-culture-and-institutions
307,Communities,3,307-communities
308,[Unassigned],3,308-[unassigned]
309,[Unassigned],3,309-[unassigned]
310,Collections of general statistics,3,310-collections-of-general-statistics
311,[Unassigned],3,311-[unassigned]
312,[Unassigned],3,312-[unassigned]
313,[Unassigned],3,313-[unassigned]
314,General statistics of Europe,3,314-general-statistics-of-europe
315,General statistics of Asia,3,315-general-statistics-of-asia
316,General statistics of Africa,3,316-general-statistics-of-africa
317,General statistics of North America,3,317-general-statistics-of-north-america
318,General statistics of South America,3,318-general-statistics-of-south-america
319,General statistics of other areas,3,319-general-statistics-of-other-areas
320,Political science (Politics and government),3,320-political-science-(politics-and-government)
321,Systems of governments and states,3,321-systems-of-governments-and-states
322,Relation of state to organized groups,3,322-relation-of-state-to-organized-groups
323,Civil and political rights,3,323-civil-and-political-rights
324,The political process,3,324-the-political-process
325,International migration and colonization,3,325-international-migration-and-colonization
326,Slavery and emancipation,3,326-slavery-and-emancipation
327,International relations,3,327-international-relations
328,The legislative process,3,328-the-legislative-process
329,[Unassigned],3,329-[unassigned]
330,Economics,3,330-economics
331,Labor economics,3,331-labor-economics
332,Financial economics,3,332-financial-economics
333,Economics of land and energy,3,333-economics-of-land-and-energy
334,Cooperatives,3,334-cooperatives
335,Socialism and related systems,3,335-socialism-and-related-systems
336,Public finance,3,336-public-finance
337,International economics,3,337-international-economics
338,Production,3,338-production
339,Macroeconomics and related topics,3,339-macroeconomics-and-related-topics
340,Law,3,340-law
341,Law of nations,3,341-law-of-nations
342,Constitutional and administrative law,3,342-constitutional-and-administrative-law
343,"Military, tax, trade and industrial law",3,343-military-tax-trade-and-industrial-law
344,"Labor, social, education & cultural law",3,344-labor-social-education-and-cultural-law
345,Criminal law,3,345-criminal-law
346,Private law,3,346-private-law
347,Procedure and courts,3,347-procedure-and-courts
348,"Laws, regulations, cases",3,348-laws-regulations-cases
349,Law of specific jurisdictions & areas,3,349-law-of-specific-jurisdictions-and-areas
350,Public administration and military science,3,350-public-administration-and-military-science
351,Public administration,3,351-public-administration
352,General considerations of public administration,3,352-general-considerations-of-public-administration
353,Specific fields of public administration,3,353-specific-fields-of-public-administration
354,Administration of economy & environment,3,354-administration-of-economy-and-environment
355,Military science,3,355-military-science
356,Foot forces & warfare,3,356-foot-forces-and-warfare
357,Mounted forces & warfare,3,357-mounted-forces-and-warfare
358,Air & other specialized forces,3,358-air-and-other-specialized-forces
359,Sea forces & warfare,3,359-sea-forces-and-warfare
360,Social problems & services; associations,3,360-social-problems-and-services;-associations
361,Social problems & services,3,361-social-problems-and-services
362,Social problems & services to groups,3,362-social-problems-and-services-to-groups
363,Other social problems and services,3,363-other-social-problems-and-services
364,Criminology,3,364-criminology
365,Penal and related institutions,3,365-penal-and-related-institutions
366,Secret associations and societies,3,366-secret-associations-and-societies
367,General clubs,3,367-general-clubs
368,Insurance,3,368-insurance
369,Associations,3,369-associations
370,Education,3,370-education
371,Schools and their activities; special education,3,371-schools-and-their-activities;-special-education
372,Primary education (Elementary education),3,372-primary-education-(elementary-education)
373,Secondary education,3,373-secondary-education
374,Adult education,3,374-adult-education
375,Curricula,3,375-curricula
376,[Unassigned],3,376-[unassigned]
377,[Unassigned],3,377-[unassigned]
378,Higher education (Tertiary education),3,378-higher-education-(tertiary-education)
379,Public policy issues in education,3,379-public-policy-issues-in-education
380,"Commerce, communications, transportation",3,380-commerce-communications-transportation
381,Commerce (Trade),3,381-commerce-(trade)
382,International commerce,3,382-international-commerce
383,Postal communication,3,383-postal-communication
384,Communications,3,384-communications
385,Railroad transportation,3,385-railroad-transportation
386,Inland waterway and ferry transportation,3,386-inland-waterway-and-ferry-transportation
387,"Water, air, space transportation",3,387-water-air-space-transportation
388,Transportation,3,388-transportation
389,Metrology and standardization,3,389-metrology-and-standardization
390,"Customs, etiquette, folklore",3,390-customs-etiquette-folklore
391,Costume and personal appearance,3,391-costume-and-personal-appearance
392,Customs of life cycle and domestic life,3,392-customs-of-life-cycle-and-domestic-life
393,Death customs,3,393-death-customs
394,General customs,3,394-general-customs
395,Etiquette (Manners),3,395-etiquette-(manners)
396,[Unassigned],3,396-[unassigned]
397,[Unassigned],3,397-[unassigned]
398,Folklore,3,398-folklore
399,Customs of war and diplomacy,3,399-customs-of-war-and-diplomacy
400,Language,3,400-language
401,Philosophy and theory,3,401-philosophy-and-theory
402,Miscellany,3,402-miscellany
403,Dictionaries & encyclopedias,3,403-dictionaries-and-encyclopedias
404,Special topics of language,3,404-special-topics-of-language
405,Serial publications,3,405-serial-publications
406,Organizations and management,3,406-organizations-and-management
407,"Education, research, related topics",3,407-education-research-related-topics
408,Groups of people,3,408-groups-of-people
409,Geographic treatment and biography,3,409-geographic-treatment-and-biography
410,Linguistics,3,410-linguistics
411,Writing systems,3,411-writing-systems
412,Etymology,3,412-etymology
413,Dictionaries,3,413-dictionaries
414,Phonology & phonetics,3,414-phonology-and-phonetics
415,Grammar,3,415-grammar
416,[Unassigned],3,416-[unassigned]
417,Dialectology and historical linguistics,3,417-dialectology-and-historical-linguistics
418,Applied linguistics,3,418-applied-linguistics
419,Sign languages,3,419-sign-languages
420,English & Old English (Anglo-Saxon),3,420-english-and-old-english-(anglo-saxon)
421,"English writing system, phonology, phonetics",3,421-english-writing-system-phonology-phonetics
422,Etymology of standard English,3,422-etymology-of-standard-english
423,Dictionaries of standard English,3,423-dictionaries-of-standard-english
424,[Unassigned],3,424-[unassigned]
425,Grammar of standard English,3,425-grammar-of-standard-english
426,[Unassigned],3,426-[unassigned]
427,English language variations,3,427-english-language-variations
428,Standard English usage,3,428-standard-english-usage
429,Old English (Anglo-Saxon),3,429-old-english-(anglo-saxon)
430,German and related languages,3,430-german-and-related-languages
431,"Writing system, phonology, phonetics",3,431-writing-system-phonology-phonetics
432,Etymology of standard German,3,432-etymology-of-standard-german
433,Dictionaries of standard German,3,433-dictionaries-of-standard-german
434,[Unassigned],3,434-[unassigned]
